Timestamp,LastSenior,LastSenior01,Interdisciplinary,Inter01,YearssincePhD,PhD01,WhereLive,WhereLive01,CurrentDept,Dept01,,
4/6/2016 8:01,No,1,Always,5,15-Nov,4,Europe,4,A Natural Resources department (or similar),3,0.08,straight no
4/6/2016 7:21,No,1,Always,5,15-Nov,4,North America,5,A Natural Resources department (or similar),3,0.06,"it depends, no"
4/8/2016 8:58,No,1,Always,5,5-Jan,2,North America,5,A Biology department,2,0.06,"not sure, no"
4/6/2016 13:55,No,1,Always,5,10-Jun,3,North America,5,Geography and Environmental Studies,4,0.06,"not sure, yes"
4/6/2016 23:29,"It depends, but probably no",2,Always,5,10-Jun,3,North America,5,Geography,4,0.2,"it depends, yes"
4/6/2016 12:03,"It depends, but probably no",2,Always,5,15-Nov,4,Europe,4,A Natural Resources department (or similar),3,0.54,straight yes
4/6/2016 7:25,"It depends, but probably no",2,Always,5,15-Nov,4,North America,5,A Natural Resources department (or similar),3,1,
4/6/2016 12:09,"Not sure, but probably no",3,Always,5,5-Jan,2,North America,5,A Natural Resources department (or similar),3,0.2,
4/6/2016 18:25,"Not sure, but probably no",3,Always,5,10-Jun,3,North America,5,Geology,4,0.8,
4/6/2016 17:46,"Not sure, but probably no",3,Always,5,10-Jun,3,Australia,3,A Natural Resources department (or similar),3,,
4/6/2016 7:35,"Not sure, but probably yes",4,Always,5,0 (current students should choose this),1,North America,5,A Biology department,2,,
4/11/2016 9:46,"Not sure, but probably yes",4,Always,5,>20,6,North America,5,A Biology department,2,,
4/11/2016 17:02,"Not sure, but probably yes",4,Always,5,0 (current students should choose this),1,North America,5,An EEB deparment (or similar),1,,
4/6/2016 19:56,"It depends, but probably yes",5,Always,5,5-Jan,2,North America,5,A Biology department,2,,
4/6/2016 7:08,"It depends, but probably yes",5,Always,5,15-Nov,4,Europe,4,Sustainability Science,4,,
4/12/2016 3:13,"It depends, but probably yes",5,Always,5,5-Jan,2,Europe,4,A Biology department,2,,
4/6/2016 21:07,"It depends, but probably yes",5,Always,5,I do not have a PhD and am not a current student,7,North America,5,A Biology department,2,,
4/6/2016 22:05,"It depends, but probably yes",5,Always,5,16-20,5,North America,5,A Natural Resources department (or similar),3,,
4/6/2016 7:11,"It depends, but probably yes",5,Always,5,0 (current students should choose this),1,Europe,4,An EEB deparment (or similar),1,,
4/6/2016 8:59,"It depends, but probably yes",5,Always,5,15-Nov,4,North America,5,An EEB deparment (or similar),1,,
4/8/2016 9:30,"It depends, but probably yes",5,Always,5,0 (current students should choose this),1,Australia,3,Veterinary & Life Sciences,4,,
4/7/2016 22:28,"It depends, but probably yes",5,Always,5,15-Nov,4,Australia,3,A Biology department,2,,
