Timestamp,LastSenior,LastSenior01,CorrespondingCurrent,CorrespondingCurrent01,CorrespondingBest,CorrespondingBest01,CVStatement,CVStatement01,PrimaryResearch,PrimaryResearch01,BasicApplied,BasicApplied01,Interdisciplinary,Inter01,YearssincePhD,PhD01,WhereLive,WhereLive01,CurrentDept,Dept01
4/6/16 8:38,"It depends, but probably no",2,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Ecology (primarily field-based),1,Applied,2,Sometimes,3,15-Nov,4,North America,5,"        Federal, wildlife management",4
4/7/16 1:38,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,"Ecology (primarily wet-lab based, including molecular ecology)",2,.,.,Always,5,5-Jan,2,North America,5,        Government agency,4
4/7/16 0:59,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily computational-based),3,Applied,2,Often,4,5-Jan,2,North America,5,       Public health,4
4/11/16 9:59,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be whichever person uploaded the files (usually the first author),3,,.,.,.,.,.,.,.,.,.,.,.,.,.
4/6/16 9:18,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily computational-based),3,Basic,1,Sometimes,3,0 (current students should choose this),1,Europe,4,"a ""biodiversity center""",4
4/6/16 19:37,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Sometimes,3,5-Jan,2,South America,6,A Agroecological institution ,4
4/6/16 15:51,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Evolutionary biology (primarily molecular),4,Applied,2,Sometimes,3,5-Jan,2,Africa,1,A Biology department,2
4/8/16 15:24,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,,.,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Basic,1,Sometimes,3,10-Jun,3,Africa,1,A Biology department,2
4/6/16 12:49,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,"Ecology (primarily wet-lab based, including molecular ecology)",2,Applied,2,Often,4,15-Nov,4,Africa,1,A Biology department,2
4/6/16 6:53,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Basic,1,Never,1,0 (current students should choose this),1,Africa,1,A Biology department,2
4/6/16 6:53,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,"Ecology (primarily wet-lab based, including molecular ecology)",2,Basic,1,Rarely,2,5-Jan,2,Asia,2,A Biology department,2
4/11/16 7:37,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be whichever person uploaded the files (usually the first author),3,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily computational-based),3,Applied,2,Sometimes,3,5-Jan,2,Asia,2,A Biology department,2
4/8/16 4:34,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Sometimes,3,5-Jan,2,Asia,2,A Biology department,2
4/6/16 12:07,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily organismal),5,Basic,1,Sometimes,3,5-Jan,2,Asia,2,A Biology department,2
4/6/16 10:59,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Basic,1,Never,1,0 (current students should choose this),1,Asia,2,A Biology department,2
