Numberauthors,n,Correspondence,rel.freq,Numberauthors7,n7,rel.freq.7,
1,48,first author,100,1,48,first author,100
1,.,last author,0,1,.,last author,0
2,196,first author,89,2,196,first author,89
2,.,last author,10,2,.,last author,10
3,185,first author,85,3,185,first author,85
3,.,last author,14,3,.,last author,14
4,150,first author,82,4,150,first author,82
4,.,last author,14,4,.,last author,14
5,114,first author,80,5,114,first author,80
5,.,last author,16,5,.,last author,16
6,74,first author,77,6,74,first author,77
6,.,last author,18,6,.,last author,18
7,45,first author,71,7+,124,first author,81
7,.,last author,20,7+,.,last author,15
8,23,first author,91,.,.,.,.
8,.,last author,9,.,.,.,.
9,11,first author,100,.,.,.,.
9,.,last author,0,.,.,.,.
10+,45,first author,80,.,.,.,.
10+,.,last author,16,.,.,.,.
